image_path,friction
clear\cam101_02-02_09-53.jpeg,0.9407
clear\cam101_02-02_10-07.jpeg,0.8935
clear\cam101_02-02_10-20.jpeg,0.9158
clear\cam101_02-02_10-31.jpeg,0.863
clear\cam101_02-02_10-45.jpeg,0.9232
clear\cam101_02-02_19-02.jpeg,0.9899
clear\cam101_02-02_19-15.jpeg,0.9485
clear\cam101_02-02_19-32.jpeg,0.8532
clear\cam101_02-02_19-53.jpeg,0.951
clear\cam101_02-02_20-08.jpeg,0.8632
clear\cam101_02-02_20-23.jpeg,0.9306
clear\cam101_02-02_20-43.jpeg,0.8753
clear\cam101_02-02_21-00.jpeg,0.9145
clear\cam101_02-02_21-14.jpeg,0.8954
clear\cam101_02-02_21-35.jpeg,0.8726
clear\cam101_02-02_21-50.jpeg,0.881
clear\cam101_02-02_22-08.jpeg,0.9681
clear\cam101_02-02_22-41.jpeg,0.9581
clear\cam101_02-02_23-00.jpeg,0.8843
clear\cam101_02-02_23-18.jpeg,0.9852
clear\cam101_02-02_23-33.jpeg,0.8589
clear\cam101_03-02_00-09.jpeg,0.9872
clear\cam101_03-02_00-28.jpeg,0.9897
clear\cam101_03-02_00-41.jpeg,0.9338
clear\cam101_03-02_01-19.jpeg,0.9708
clear\cam101_03-02_01-34.jpeg,0.986
clear\cam101_03-02_01-56.jpeg,0.9329
clear\cam101_03-02_02-11.jpeg,0.8729
clear\cam101_03-02_02-52.jpeg,0.9291
clear\cam101_03-02_03-02.jpeg,0.992
clear\cam101_03-02_03-19.jpeg,0.9925
clear\cam101_03-02_05-10.jpeg,0.8621
clear\cam101_03-02_05-22.jpeg,0.9254
clear\cam101_03-02_07-18.jpeg,0.9625
clear\cam101_03-02_07-35.jpeg,0.8545
clear\cam101_03-02_07-52.jpeg,0.9116
clear\cam101_03-02_08-20.jpeg,0.8846
clear\cam101_03-02_08-27.jpeg,0.8835
clear\cam101_03-02_08-44.jpeg,0.9705
clear\cam101_03-02_09-01.jpeg,0.9217
clear\cam101_03-02_09-38.jpeg,0.9681
clear\cam101_03-02_09-55.jpeg,0.9711
clear\cam101_03-02_10-12.jpeg,0.9358
clear\cam101_03-02_10-30.jpeg,0.9537
clear\cam101_03-02_11-05.jpeg,0.9541
clear\cam101_03-02_11-19.jpeg,0.8922
clear\cam101_03-02_11-39.jpeg,0.9713
clear\cam101_03-02_11-56.jpeg,0.9152
clear\cam101_03-02_12-11.jpeg,0.916
clear\cam101_03-02_12-28.jpeg,0.9212
clear\cam101_07-02_08-24.jpeg,0.9232
clear\cam101_07-02_08-38.jpeg,0.9188
clear\cam101_07-02_09-15.jpeg,0.9887
clear\cam101_10-02_07-10.jpeg,0.9088
clear\cam101_12-02_13-35.jpeg,0.9622
clear\cam101_12-02_13-46.jpeg,0.9924
clear\cam101_12-02_14-00.jpeg,0.9465
clear\cam101_12-02_14-20.jpeg,0.9232
clear\cam101_12-02_14-54.jpeg,0.9384
clear\cam101_12-02_15-08.jpeg,0.9757
clear\cam101_12-02_16-02.jpeg,0.8994
clear\cam101_12-02_16-17.jpeg,0.8538
clear\cam101_12-02_16-36.jpeg,0.8528
clear\cam101_12-02_16-51.jpeg,0.8561
clear\cam101_12-02_17-11.jpeg,0.9148
clear\cam101_17-02_04-46.jpeg,0.9498
clear\cam101_17-02_07-03.jpeg,0.94
clear\cam101_17-02_07-11.jpeg,0.8885
clear\cam101_17-02_07-23.jpeg,0.8869
clear\cam101_17-02_07-30.jpeg,0.9953
clear\cam101_17-02_07-38.jpeg,0.996
clear\cam101_17-02_07-42.jpeg,0.9164
clear\cam101_17-02_07-50.jpeg,0.9304
clear\cam101_17-02_07-58.jpeg,0.8773
clear\cam101_17-02_08-02.jpeg,0.8649
clear\cam101_17-02_08-10.jpeg,0.94
clear\cam101_17-02_08-18.jpeg,0.9403
clear\cam101_17-02_08-32.jpeg,0.9199
clear\cam101_17-02_08-36.jpeg,0.9381
clear\cam101_17-02_08-57.jpeg,0.8692
clear\cam101_17-02_09-16.jpeg,0.9661
clear\cam101_17-02_09-31.jpeg,0.9911
clear\cam101_17-02_09-38.jpeg,0.9529
clear\cam101_17-02_09-43.jpeg,0.9235
clear\cam101_17-02_09-52.jpeg,0.9597
clear\cam101_17-02_09-57.jpeg,0.9253
clear\cam101_17-02_10-02.jpeg,0.9522
clear\cam101_17-02_10-11.jpeg,0.9413
clear\cam101_17-02_17-11.jpeg,0.9778
clear\cam101_17-02_17-18.jpeg,0.8762
clear\cam101_17-02_17-24.jpeg,0.859
clear\cam101_17-02_19-10.jpeg,0.9725
clear\cam101_17-02_19-19.jpeg,0.9981
clear\cam101_17-02_19-23.jpeg,0.9517
clear\cam101_17-02_19-28.jpeg,0.9429
clear\cam101_17-02_19-37.jpeg,0.8931
clear\cam101_17-02_19-41.jpeg,0.8599
clear\cam101_17-02_19-50.jpeg,0.9117
clear\cam101_17-02_20-04.jpeg,0.931
clear\cam101_17-02_20-09.jpeg,0.9118
clear\cam101_17-02_20-23.jpeg,0.9499
clear\cam101_17-02_20-27.jpeg,0.8777
clear\cam101_17-02_20-36.jpeg,0.9434
clear\cam101_17-02_20-41.jpeg,0.9582
clear\cam101_17-02_20-50.jpeg,0.9798
clear\cam101_17-02_20-58.jpeg,0.926
clear\cam101_17-02_21-07.jpeg,0.9041
clear\cam101_30-01_07-21.jpeg,0.9553
clear\cam101_30-01_08-04.jpeg,0.9139
clear\cam101_30-01_10-23.jpeg,0.8513
clear\cam101_30-01_10-36.jpeg,0.9246
clear\cam101_30-01_11-08.jpeg,0.9652
clear\cam101_30-01_11-31.jpeg,0.8772
clear\cam101_30-01_11-45.jpeg,0.8805
clear\cam101_30-01_12-02.jpeg,0.9138
clear\cam101_30-01_12-13.jpeg,0.8839
clear\cam101_30-01_12-30.jpeg,0.9335
clear\cam101_30-01_12-45.jpeg,0.9219
